datetime#topic#title#url#image_url#language#score#source_domain#description#share_url#page_id
2021-02-28 11:37:00#tech#iOS herinstalleren op een iPhone 13 zonder poorten#https://www.apparata.nl/nieuws/ios-herinstalleren-op-een-iphone-13-zonder-poorten-48940#https://www.apparata.nl/files/2021/02/iphone-opladen-35993.jpg#nl#-0.29600000000000004#www.apparata.nl#Hoe kun je iOS herinstalleren op een iPhone 13 zonder poorten? Een mogelijke oplossing is deze.  Het klinkt in elk geval interessant. #https://www.apparata.nl/nieuws/ios-herinstalleren-op-een-iphone-13-zonder-poorten-48940#ObwzRlZWt
2021-03-02 10:31:35#tech#Gerucht: Apple stapt niet over op USB-C en Touch ID in Power-knop voor iPhones#https://tweakers.net/nieuws/178698/gerucht-apple-stapt-niet-over-op-usb-c-en-touch-id-in-power-knop-voor-iphones.html#https://tweakers.net/i/UeGIGUZklokUpSlEj4jOmXJzOdQ=/67x67/filters:strip_icc():strip_exif()/i/2002272201.jpeg?f=fpa#nl#0.0#tweakers.net#Apple stapt volgens TF Securities-analist Ming-Chi Kuo niet over op USB-C voor iPhones, omdat de inkomsten uit accessoires met de stap verminderen.  Ook zit Touch ID in de Power-knop er voorlopig niet in.  Beide functies zitten wel op iPads. #https://tweakers.net/nieuws/178698/gerucht-apple-stapt-niet-over-op-usb-c-en-touch-id-in-power-knop-voor-iphones.html#IOJApFXjb
2021-03-01 11:06:00#tech#OnePlus Nord ontvangt stabiele Android 11-update en OxygenOS 11#https://androidworld.nl/nieuws/oneplus-nord-ontvangt-stabiele-android-11-update-en-oxygenos-11#https://newsifier.imgix.net/androidworld.nl/images/2020-10/OnePlus_Nord_2-5f9c3c0c5bf1f.jpg?w=1200&h=627&fit=crop#nl#0.29600000000000004#androidworld.nl#OnePlus rolt momenteel Andorid 11 1 uit naar zijn middenklasser: de OnePlus Nord.  In dit artikel bespreken we wat er nieuw is voor de telefoon. #https://androidworld.nl/nieuws/oneplus-nord-ontvangt-stabiele-android-11-update-en-oxygenos-11#iit7su69c
2021-03-02 10:31:40#tech#Documentatie toont dat Xiaomi Redmi K40 gaat uitbrengen als Poco F3#https://tweakers.net/nieuws/178700/documentatie-toont-dat-xiaomi-redmi-k40-gaat-uitbrengen-als-poco-f3.html#https://tweakers.net/i/94H7lWsJjX34dNtPpVT-X44tlXE=/67x67/filters:strip_icc():strip_exif()/i/2004026814.jpeg?f=fpa#nl#0.0#tweakers.net#"Uit een FCC-keuring is gebleken dat Xiaomi de vorige week aangekondigde Redmi K40-telefoon elders wil uitbrengen als Poco F3.  De telefoon heeft onder meer een Qualcomm Snapdragon 870-soc en 6,67""-oledscherm met 120Hz-verversingssnelheid. "#https://tweakers.net/nieuws/178700/documentatie-toont-dat-xiaomi-redmi-k40-gaat-uitbrengen-als-poco-f3.html#6Yp8ovGI0
2021-03-02 07:50:28#entertainment#Tekening Van Gogh geveild voor 8,7 miljoen euro#https://www.nrc.nl/nieuws/2021/03/02/tekening-van-gogh-geveild-voor-87-miljoen-euro-a4033820#https://images.nrc.nl/u_Np9Rq1FbJUnCUK5vpWNApFLxI=/1200x627/smart/filters:no_upscale()/s3/static.nrc.nl/wp-content/uploads/2021/03/web-0203culvan-gogh-2-1.jpg#nl#0.0#www.nrc.nl#Christie’s: Een tekening van Vincent van Gogh heeft deze maandag op een veiling in New York 10,4 miljoen dollar opgebracht.  Een record, volgens The Art…#https://www.nrc.nl/nieuws/2021/03/02/tekening-van-gogh-geveild-voor-87-miljoen-euro-a4033820#0pAOG9gGE
2021-03-02 10:31:44#entertainment#Live: RTL Verkiezingsdebat#https://www.gids.tv/tv-gids/uitzending-gemist/rtl-verkiezingsdebat/4558543#https://images.superbstockphotos.com/ja8anq/9aNuja/pa8NH6/aa7B6h/4558543/thumbs/backdrops/rtl-verkiezingsdebat.jpg?w=600#nl#0.0#www.gids.tv#Gemist.  Alle fragmenten uit deze uitzending Het RTL Verkiezingsdebat is 28 februari te zien op RTL 4: bekijk de promo Bekijk deze video » Kijk LIVE naar RTL Verkiezingsdebat 2021 (zondag 28 februari). . . #https://www.gids.tv/tv-gids/uitzending-gemist/rtl-verkiezingsdebat/4558543#Bl0zRHNoE
2021-03-01 10:54:54#entertainment#Snoop Dogg rage quit en laat stream zeven en half uur aan staan#https://www.gamekings.tv/nieuws/snoop-doggy-dog-rage-quit-en-laat-stream-zeven-en-half-uur-aan-staan/#https://www.gamekings.tv/wp-content/uploads/Snoop-Dogg.jpg#nl#-0.5859#www.gamekings.tv#Snoop Dogg rage quit en laat stream zeven en half uur aan staan.  De rapper ging afgelopen weekend over de piss tijdens potje Madden 21. #https://www.gamekings.tv/nieuws/snoop-doggy-dog-rage-quit-en-laat-stream-zeven-en-half-uur-aan-staan/#z9lP1F73t
2021-03-01 21:16:50#entertainment#Daniël Lohues en Rosa da Silva maken kans op Annie M.G. Schmidtprijs#https://www.rtvdrenthe.nl/nieuws/167978/Daniel-Lohues-en-Rosa-da-Silva-maken-kans-op-Annie-M-G-Schmidtprijs#https://imgd.rgcdn.nl/5f6b2e3497f5464facfe576a5093a334/opener/Rosa-da-Silva-tijdens-een-optreden-bij-RTV-Drente-Rechten-RTV-Drenthe-Margriet-Benak.jpg?v=sPXjcx66qqR7ghJmgM0uJA2#nl#0.8442#www.rtvdrenthe.nl#Daniël Lohues en Rosa da Silva zijn samen genomineerd voor de Annie M. G.  Schmidtprijs.  Dat is vanavond bekend geworden.  Die prijs wordt sinds 1991 uitgereikt aan een tekstschrijver, componist en uitvoerder voor het beste theaterlied. #https://www.rtvdrenthe.nl/nieuws/167978/Daniel-Lohues-en-Rosa-da-Silva-maken-kans-op-Annie-M-G-Schmidtprijs#7LtUbHLXA
2021-03-01 21:57:00#entertainment#Dit zijn de 6 genomineerden voor de Libris Literatuur Prijs#https://www.parool.nl/kunst-media/dit-zijn-de-6-genomineerden-voor-de-libris-literatuur-prijs~b0798752/#https://images0.persgroep.net/rcs/mKx2VUih4cWZHP8olVtmLYmrYAM/diocontent/200432224/_fitwidth/763?appId=93a17a8fd81db0de025c8abd1cca1279&quality=0.8#nl#0.5106#www.parool.nl#De jury van de Libris Literatuur Prijs 2021 heeft maandag de zes genomineerden bekendgemaakt die dit jaar meedingen naar de prijs voor de beste Ned. . . #https://www.parool.nl/kunst-media/dit-zijn-de-6-genomineerden-voor-de-libris-literatuur-prijs~b0798752/#1F6iTiZH8
2021-03-01 00:00:00#entertainment#EO organiseert jaar na uitbreken van COVID-19 nieuw Concert van Hoop#https://www.nu.nl/muziek/6119188/eo-organiseert-jaar-na-uitbreken-van-covid-19-nieuw-concert-van-hoop.html#https://media.nu.nl/m/rqixlixa94ez_wd1280.jpg/eo-organiseert-jaar-na-uitbreken-van-covid-19-nieuw-concert-van-hoop.jpg#nl#0.4404#www.nu.nl#Op 10 maart, precies een jaar nadat de coronapandemie uitbrak in Nederland, organiseert de EO een tweede Concert van Hoop.  Tijdens het concert zijn er optredens van artiesten als Guus Meeuwis, Diggy Dex en Suzan & Freek, meldt de EO maandag. #https://www.nu.nl/muziek/6119188/eo-organiseert-jaar-na-uitbreken-van-covid-19-nieuw-concert-van-hoop.html#tmeIouQvl
