datetime#topic#title#url#image_url#language#score#source_domain#description#share_url#page_id
2021-03-08 10:33:00#world#Olivier Dassault 'राफेल' बनवणाऱ्या कंपनीच्या मालकाचा हेलिकॉप्टर अपघातात मृत्यू#https://maharashtratimes.com/international/international-news/french-billionaire-politician-olivier-dassault-die-in-helicopter-crash/articleshow/81386921.cms#https://maharashtratimes.com/photo/msid-81386921,imgsize-198342/pic.jpg#mr#-0.4019#maharashtratimes.com#international newsOlivier Dassault die in helicopter crash: फ्रान्सचे अब्जाधीश व्यावसायिक ओलिव्हर डसॉल्ट यांचे हेलिकॉप्टर अपघातात निधन झाले आहे.  त्यांच्या निधनावर राष्ट्रपती इमॅन्युएल मॅक्रॉन यांनी शोक व्यक्त केला आहे. #https://maharashtratimes.com/international/international-news/french-billionaire-politician-olivier-dassault-die-in-helicopter-crash/articleshow/81386921.cms#2KeqdH8UW
2021-03-06 00:00:00#business#7 रुपयात 100 KM प्रवास करा, 'ही' इलेक्ट्रिक बाईक चालवण्यासाठी रजिस्ट्रेशन, लायसन्सची गरज नाही#https://www.tv9marathi.com/automobile/buy-electric-bike-atum-1-0-and-travel-more-than-100-kilometer-in-rs-7-413554.html#https://d282wbz2keffpz.cloudfront.net/wp-content/uploads/2021/03/06231117/Atumobile-Atum-1.0-5.jpg#mr#-0.5267#www.tv9marathi.com#- Atum 1. 0 electric bike#https://www.tv9marathi.com/automobile/buy-electric-bike-atum-1-0-and-travel-more-than-100-kilometer-in-rs-7-413554.html#Twy2gMj54
2021-03-08 10:26:44#business#जगातील सर्वात श्रीमंत व्यक्तीशी घटस्फोटानंतर महिलेने शिक्षकाशी केलं लग्न#https://www.esakal.com/global/mackenzie-scott-philanthropist-and-ex-wife-amazon-jeff-bezos-remarries-417082#https://images2.sakalmediagroup.com/eSakal-Prod/s3fs-public/news-story/cover-images/2Sakal_20_2822_29_17.jpg?O5GXwrCq4pMvE3cEfRTU6DFq6_jzfV.a#mr#0.5267#www.esakal.com#MacKenzie Scott a Philanthropist and ex-wife amazon Jeff Bezos remarries जगातील दिग्गज ई-कॉमर्स कंपनी amazon चे संस्थापक जेफ बेझोस यांच्या पत्नीने काही दिवसांपूर्वी त्यांच्यापासून घटस्फोट घेतला होता.  मिळालेल्या माहितीनुसार त्यांनी सिएटलमधील एका शिक्षकासोबत लग्न केले आहे.  | Top Marathi News | Top Latest and Breaking Marathi News on eSakal. com. #https://www.esakal.com/global/mackenzie-scott-philanthropist-and-ex-wife-amazon-jeff-bezos-remarries-417082#vOBYOF6Ox
2021-03-08 00:00:00#business#इंधन दरवाढीची चिंता सोडा ; ही बाईक 7 रुपयात चालते 100 किलोमीटर#https://ahmednagarlive24.com/2021/03/06/leave-the-worry-of-fuel-price-hike-this-bike-runs-for-7-rupees-100-kms/#https://ahmednagarlive24.com/wp-content/uploads/2021/03/IMG-20200901-WA0063-1.jpg#mr#-0.4767#ahmednagarlive24.com#अहमदनगर Live24 टीम, 06 मार्च 2021:-सध्या देशभरातील नागरिक पेट्रोल आणि डिझेलच्या वाढत्या किंमतींमुळे चिंतेत आहेत.  पेट्रोलचे दर सतत वाढत आहेत आणि यामुळे सर्वसामान्यांच्या खिश्यावर दिवसेंदिवस आर्थिक भार वाढत आहे.  मात्र आता चिंताच सोडा कारण आज आम्ही आपल्यासाठी अशी एक बाईक घेऊन आलो आहे, जी तुम्हाला अवघ्या काही रुपयांमध्ये दूर प्रवासाचा…#https://ahmednagarlive24.com/2021/03/06/leave-the-worry-of-fuel-price-hike-this-bike-runs-for-7-rupees-100-kms/#nxLbgQVrz
2021-03-08 00:00:00#business#होंडाची जबरदस्त कार ! रोडवर स्वत:च चालते; टेस्लापेक्षाही हायटेक असल्याचा दावा ; वाचा फीचर्स#https://ahmednagarlive24.com/2021/03/08/hondas-great-car-runs-on-the-road-itself-claims-to-be-even-more-high-tech-than-tesla-read-features/#https://ahmednagarlive24.com/wp-content/uploads/2021/03/jx2103027-1200x775-1614888947.jpg#mr#0.6588#ahmednagarlive24.com#अहमदनगर Live24 टीम, 08 मार्च 2021:- जपानी ऑटोमोबाईल उत्पादक कंपनी होंडाने आपल्या देशांतर्गत बाजारात जगातील सर्वात प्रगत सेल्फ ड्रायव्हिंग कार होंडा लीजेंड सादर केली आहे.  कंपनीने या कारमध्ये 3 ऑटोनॉमस ड्रायव्हिंग तंत्रज्ञान वापरले आहे, यामुळे कार एडवांस्ड बनते जेणेकरून रस्त्यावर बिना ड्राइवरची गाडी चालू शकेल.  कंपनीने होंडा लेजेंड सेल्फ ड्राईव्हिंग…#https://ahmednagarlive24.com/2021/03/08/hondas-great-car-runs-on-the-road-itself-claims-to-be-even-more-high-tech-than-tesla-read-features/#miN4pwFpJ
2021-03-08 14:15:00#tech#तुमचा कॉल कोण रेकॉर्ड करतंय का?, 'असं' सोप्या पद्धतीनं समजून घ्या#https://maharashtratimes.com/gadget-news/mobile-phones/how-to-know-if-someone-is-recording-your-phone-call/articleshow/81388449.cms#https://maharashtratimes.com/photo/msid-81388449,imgsize-107649/pic.jpg#mr#0.0#maharashtratimes.com#mobile phonesसोशल मीडियावर अनेक राजकीय नेत्यांचे, प्रसिद्ध व्यक्तींचे फोन रेकॉर्डिंग आपल्याला ऐकायला मिळतात.  कारण, ते रेकॉर्डिंग त्यांच्या मर्जीविना रेकॉर्ड केलेले आहे.  असे करणे हे गुन्हा आहे.  तुमचा फोन कोण रेकॉर्ड करीत आहे, असे समजून घ्या. #https://maharashtratimes.com/gadget-news/mobile-phones/how-to-know-if-someone-is-recording-your-phone-call/articleshow/81388449.cms#POW3txcSv
2021-03-08 10:25:34#tech#जागतिक महिला दिन : Google आणि Facebook चा खास लोगो पाहून व्हाल एकदम खूश#https://zeenews.india.com/marathi/women/international-womens-day-google-and-facebooks-special-logo/555823#https://marathi.cdn.zeenews.com/marathi/sites/default/files/2021/03/08/419096-779135-google-doodle1.jpg#mr#0.7506#zeenews.india.com#आज आंतरराष्ट्रीय महिला दिन.  (International Women's Day) या दिनाच्या विशेष प्रसंगी टेक दिग्गज कंपनी गूगल (Google) आणि फेसबूकने (Facebook) महिलांना समर्पित केले आहे.  गूगल डूडल्सला (Doodles) आज महिला बरोबरीसाठी समर्पित केले आहे.  तर फेसबूकने आपल्या मोबाइल अ‍ॅपमध्ये हा लोगो विविध महिलांना समर्पित केला आहे. #https://zeenews.india.com/marathi/women/international-womens-day-google-and-facebooks-special-logo/555823#ZtQ4CPkSV
2021-03-06 00:00:00#tech#Motorola चे दोन दमदार स्मार्टफोन भेटीला, लाँचिंगसाठी उरले फक्त काही तास#https://www.tv9marathi.com/technology/motorola-will-launch-moto-g10-power-moto-g30-in-india-on-march-9-413476.html#https://d282wbz2keffpz.cloudfront.net/wp-content/uploads/2021/03/06212909/Moto-G10-Power-G30.jpg#mr#0.4215#www.tv9marathi.com#मोटोरोला (Motorola) कंपनी भारतीय बाजारात दोन नवीन स्मार्टफोन लाँच करण्यास सज्ज आहे.  (Motorola will launch Moto G10 Power, Moto G30) - Moto G10 Power Moto G10#https://www.tv9marathi.com/technology/motorola-will-launch-moto-g10-power-moto-g30-in-india-on-march-9-413476.html#yee1zHWh0
2021-03-06 15:02:51#entertainment#बॉलिवूड ड्रग्ज प्रकरण: NCB ने कोर्टात आरोपपत्र दाखल केले, सुशांतची बहीण श्वेता म्हणाली - 'अंधारानंतर प्रकाश नक्कीच असतो'#https://divyamarathi.bhaskar.com/entertainment/bollywood/news/bollywood-drug-case-ncb-files-chargesheet-in-court-sushant-singh-sister-shweta-said-there-is-always-light-at-the-end-of-the-tunnel-128295461.html#https://images.bhaskarassets.com/web2images/5483/2021/03/06/untitled-4_1615023160.jpg#mr#0.4019#divyamarathi.bhaskar.com#एनसीबीने केली होती 33 जणांना अटक | एनसीबीने केली होती 33 जणांना अटक#https://divyamarathi.bhaskar.com/entertainment/bollywood/news/bollywood-drug-case-ncb-files-chargesheet-in-court-sushant-singh-sister-shweta-said-there-is-always-light-at-the-end-of-the-tunnel-128295461.html#a5Eg3cwkL
