datetime#topic#title#url#image_url#language#score#source_domain#description#t_likes#t_dislikes
2021-03-02 08:22:53#world#Wegen Khashoggi-Ermordung: USA fordern Aus für bin Salmans Eliteeinheit#https://www.n-tv.de/politik/USA-fordern-Aus-fuer-bin-Salmans-Eliteeinheit-article22395471.html#https://bilder1.n-tv.de/img/incoming/crop22270092/6501323800-cImg_16_9-w1200/114631967.jpg#de#-0.6597#www.n-tv.de#2018 wird der Journalist Khashoggi von Mitgliedern der Schnellen Eingreiftruppe Saudi-Arabiens getötet.  Die USA fordern nun, die Eliteeinheit aufzulösen.  Zudem werden Rufe laut, auch gegen Kronprinz Mohammed bin Salman Sanktionen zu verhängen. ##
2021-03-01 19:37:45#world#"Appell auf Geberkonferenz ""Das Leben im Jemen ist unerträglich"""#https://www.tagesschau.de/ausland/jemen-geberkonferenz-113.html#https://www.tagesschau.de/multimedia/bilder/jemen-767~_v-videowebm.jpg#de#0.0#www.tagesschau.de#Millionen Menschen im Jemen brauchen Hilfe, doch 2020 waren zu wenige Spenden zusammengekommen.  Auf einer Geberkonferenz appellierte UN-Generalsekretär Guterres eindringlich an die Staaten - ohne großen Erfolg.  Von Dietrich Karl Mäurer. ##
2021-03-02 06:50:49#world#Spike Lee: Regisseur dreht 11.-September-Doku über New York#https://www.spiegel.de/kultur/tv/spike-lee-regisseur-dreht-11-september-doku-ueber-new-york-a-b65a795d-ce6f-412f-af26-a78a88830304#https://cdn.prod.www.spiegel.de/images/6c117343-f3d4-41f8-994f-cd4c5899b736_w1280_r1.77_fpx26_fpy40.jpg#de#0.0#www.spiegel.de#Zwei Jahrzehnte nach dem verheerenden Terror von 9/11 plant Regisseur Spike Lee eine Dokumentation über die einmalige Widerstandsfähigkeit der New Yorker.  Auch der Umgang der Stadt mit der Corona-Pandemie soll dabei eine Rolle spielen. ##
2021-03-01 19:03:44#world#Sint Maarten: Luxus-Yacht kracht in Hafen#https://www.express.de/news/panorama/-capri-sonne--yacht-was-macht-denn-hier-der-kapitaen-mit-dem-millionen-schiff--38123618#https://www.express.de/image/38123920/2x1/940/470/9df8e9fcf4af241dbf3d285928132ab6/Ti/jacht-hafen.jpg#de#0.0#www.express.de#"Sint Maarten: Die 90 Millionen US-Dollar teure Luxus-Yacht „Go"" hat am Donnerstag (25.  Februar 2021) auf der Insel Sint Maarten (Karibik) beim Anlegen mehrere Stege zerstört. "##
2021-03-01 08:42:49#world#Sinkende Fallzahlen Südafrika lockert Corona-Maßnahmen#https://www.tagesschau.de/ausland/afrika/suedafrika-lockert-corona-massnahmen-101.html#https://www.tagesschau.de/multimedia/bilder/suedafrika-corona-111~_v-videowebm.jpg#de#0.1779#www.tagesschau.de#Südafrika gilt als das zahlenmäßig am schwersten von der Corona-Pandemie betroffene Land auf dem afrikanischen Kontinent.  Mittlerweile sinkt die Anzahl der Neuinfektionen jedoch - deshalb sollen die Maßnahmen nun gelockert werden. ##
2021-02-28 14:03:03#world#Jeder Tag zählt: Gebt Astrazeneca für alle frei#https://www.n-tv.de/politik/politik_kommentare/Gebt-Astrazeneca-fuer-alle-frei-article22392146.html#https://bilder1.n-tv.de/img/incoming/crop22392148/8321329342-cImg_16_9-w1200/949bb3572ac4a1067f65536ffd5ef63b.jpg#de#0.0#www.n-tv.de#Völlig zu Unrecht hat Astrazeneca in Deutschland ein Imageproblem.  Statt in die Oberarme zu kommen, liegt der Impfstoff in den Regalen.  So kann es nicht weitergehen. ##
2021-03-01 10:33:34#world#Die dritte Welle: Tschechien#https://m.tagesspiegel.de/politik/die-dritte-welle-tschechien-das-land-mit-der-hoechsten-inzidenz-weltweit/26960080.html#https://m.tagesspiegel.de/images/imago0112722960h/26960644/2-format2040.jpg#de#0.0#m.tagesspiegel.de#Zuletzt meldete das Land eine Sieben-Tage-Inzidenz von 765.  Das Gesundheitssystem ist stark überlastet.  Die Gründe dafür reichen bis zum Sommer zurück. ##
2021-02-28 20:34:19#world#Spaniens Ex-König Juan Carlos: Fiskus-Nachzahlung reicht nicht#https://www.faz.net/aktuell/gesellschaft/menschen/spaniens-ex-koenig-juan-carlos-fiskus-nachzahlung-reicht-nicht-17220879.html#https://media0.faz.net/ppmedia/aktuell/3555625031/1.7221344/facebook_teaser/der-fruehere-spanische-koenig.jpg#de#0.2023#www.faz.net#In Spanien wächst der Unmut über den früheren König Juan Carlos.  Der hat mehr als 5 Millionen an den Fiskus nachgezahlt – doch ist damit. . . ##
2021-02-27 13:25:00#world#Bei Beschaffung und Produktion: Impfstoffe: Dänemark und Österreich wollen eng mit Israel kooperieren#https://www.shz.de/deutschland-welt/politik/Impfstoffe-Daenemark-und-Oesterreich-wollen-mit-Israel-kooperieren-id31420802.html#https://www.shz.de/img/deutschland-welt/crop31420792/2416392410-cv16_9-w596/202102271325-full.jpg#de#0.0772#www.shz.de#Israel hat mit dem grünen Pass für Geimpfte inzwischen für die Betroffenen eine weitgehende Rückkehr zur Normalität ermöglicht.  Österreich und Dänemark streben eine enge Zusammenarbeit an, um auch angesichts möglicher weiterer Mutationen auf die Phase nach dem Sommer vorbereitet zu sein. ##
2021-03-02 07:56:26#world#Corona - Impfung, Infektionen und mehr: So schlägt sich Deutschland in der Pandemie#https://www.rtl.de/cms/corona-impfung-infektionen-und-mehr-so-schlaegt-sich-deutschland-in-der-pandemie-4713496.html#https://cloudfront-eu-central-1.images.arcpublishing.com/rtl/BAWFHUVEGQRIJFUYLIG4PUMRW4.jpg#de#0.0#www.rtl.de#Das US-Medienunternehmen Bloomberg vergleicht 53 Länder im Umgang mit der Corona-Krise in Sachen Impfung, Infektionszahlen und Todesfällen.  So steht Deutschland##
2021-03-01 17:27:23#world#Sarkozy: Warum das Urteil für Frankreichs Konservative ein Problem ist#https://www.sueddeutsche.de/politik/sarkozy-urteil-frankreich-konservative-1.5221660#https://www.sueddeutsche.de/image/sz.1.5221683/1200x675?v=1614620337#de#-0.2732#www.sueddeutsche.de#Für Frankreichs Konservative bedeutet das Urteil gegen Sarkozy einen Rückschlag.  Er war die Hoffnung für die nächste Präsidentschaftswahl##
2021-03-02 01:21:52#world#Statt Lockdown der Wirtschaft: Tschechien ordnet Massentests in Firmen an#https://www.n-tv.de/politik/Tschechien-ordnet-Massentests-in-Firmen-an-article22395247.html#https://bilder4.n-tv.de/img/incoming/crop22395275/9511323864-cImg_16_9-w1200/232779545.jpg#de#0.0#www.n-tv.de#Tschechien ist besonders stark vom Coronavirus betroffen.  Verpflichtende Massentests in Firmen sollen helfen, die Ausbreitung zu stoppen.  Gewerkschaften geht das nicht weit genug.  Doch einen Lockdown für die Wirtschaft soll es nicht geben. ##
2021-03-01 18:01:48#world#Darum explodieren die Corona-Zahlen in Tschechien | BR24#https://www.br.de/nachrichten/deutschland-welt/darum-explodieren-die-corona-zahlen-in-tschechien,SQPxi1B#https://img.br.de/35accfa9-1760-4a0b-a853-7fef449c3cac.jpeg?q=80&rect=6,173,3036,1706&w=1600&h=900#de#0.0#www.br.de#Corona hat Tschechien immer noch fest im Griff.  Um die Pandemie einzudämmen, hat die Regierung den Lockdown nun noch einmal verschärft.  Doch viel Vertrauen ist bereits verspielt und die Menschen sind der Einschränkungen mittlerweile müde. ##
2021-03-02 08:54:40#world#Wahlkampf in der Coronakrise: Merkel und Spahn werden laut SPD-Chef „ihrer Aufgabe nicht gerecht“#https://m.tagesspiegel.de/wissen/coronavirus-in-deutschland-rki-meldet-3943-neuinfektionen-inzidenz-sinkt-leicht-auf-65-4/25560996.html#https://m.tagesspiegel.de/images/bundesregierung-zieht-bilanz-ihrer-wohnraumoffensive/26964878/1-format2040.jpg#de#-0.1779#m.tagesspiegel.de#RKI meldet 3943 Neuinfektionen, Inzidenz bei 65,4 + WHO erwartet kein Ende der Pandemie in 2021 + Impfungen wirken sehr effektiv + Der Newsblog. ##
2021-03-01 19:07:07#world#Deutschland sagt bei Geberkonferenz 200 Millionen Euro an Hilfe für den Jemen zu#https://www.stern.de/news/deutschland-sagt-bei-geberkonferenz-200-millionen-euro-an-hilfe-fuer-den-jemen-zu-30407086.html#https://image.stern.de/30407088/t/hj/v1/w1440/r1.7778/-/01--vertriebene-erhalten-eine-notversorgung-in-hodeida---5914e3299cdf8857.jpg#de#0.0#www.stern.de#Bei einer internationalen Geberkonferenz im Kampf gegen die drohende Hungersnot im Bürgerkriegsland Jemen hat Deutschland 200 Millionen Euro an Hilfen##
2021-03-02 08:25:00#world#Corona: RKI meldet neue Zahlen - Inzidenz sinkt leicht#https://www.morgenpost.de/vermischtes/article231646753/Corona-News-RKI-Zahlen-Inzidenz-Lockdown-Deutschland.html#https://img.morgenpost.de/img/incoming/crop231690657/4022606174-w820-cv16_9-q85/file7ekg9g9gltfsyw7ount.jpg#de#-0.1531#www.morgenpost.de#Die Zahl der Corona-Neuinfektionen ist wieder gestiegen – die Inzidenz aber leicht gesunken, meldet das RKI.  Krankenkassen sind beunruhigt. ##
2021-03-02 07:56:45#world#Gewaltiger Meteorit über England beobachtet#https://www.rtl.de/cms/gewaltiger-meteorit-ueber-england-beobachtet-4714048.html#https://cloudfront-eu-central-1.images.arcpublishing.com/rtl/QTQM6WXTY3VCYKB3BNUZHSKDXY.jpg#de#0.3182#www.rtl.de#Feuerball am Himmel: Ein Meteorit über Großbritannien hat bei Wissenschaftlern und Augenzeugen für Aufregung gesorgt. ##
2021-02-27 20:51:39#world#Schaf nach Jahren von mehr als 35 Kilo Wolle befreit#https://www.faz.net/agenturmeldungen/dpa/schaf-nach-jahren-von-mehr-als-35-kilo-wolle-befreit-17220004.html#https://www.faz.net/img/faznet_logo_facebook_share.jpg?fb=1#de#0.4019#www.faz.net#Sydney (dpa) - Ein Schaf, das jahrelang ungeschoren im australischen Busch herumirrte und nach seiner Rettung von rund 35 Kilo verfilzter. . . ##
2021-03-02 06:08:46#world#US-Politik-News: Donald Trump ließ sich heimlich gegen Corona impfen#https://www.focus.de/politik/ausland/us-politik-im-news-ticker-trump-liess-sich-heimlich-gegen-corona-impfen_id_12891944.html#https://p6.focus.de/img/digital/internet/id_12908604/anti-corona-medikament-das-hat-es-mit-dem-trump-stoff-auf-sich.jpg?im=Crop%3D%280%2C125%2C1000%2C500%29%3BResize%3D%281200%2C627%29&hash=d4c733aae0090b5831a066f7f56d00729d45aaf800a091de110e2f2cede9b15b#de#0.0#www.focus.de#US-Politik im Live-Ticker: Das US-Repräsentantenhaus stimmt Bidens Konjunkturpaket gegen die Corona-Krise zu.  Damit soll die Wirtschaft angekurbelt und Millionen neuer Jobs geschaffen werden.  Derweil meldet sich Ex-Präsident Trump mit einer Rede zurück.  Alle News zur US-Politik lesen Sie hier im Live-Ticker auf FOCUS Online. ##
2021-03-02 07:41:10#world#Trump und Melania ließen sich heimlich gegen Corona impfen#https://www.faz.net/aktuell/politik/von-trump-zu-biden/usa-donald-trump-liess-sich-offenbar-heimlich-gegen-corona-impfen-17223177.html#https://media1.faz.net/ppmedia/aktuell/1673613725/1.7223179/facebook_teaser/ohne-etwas-zu-sagen-donald.jpg#de#0.0#www.faz.net#Noch vor ihrem Auszug aus dem Weißen Haus sollen Donald Trump und seine Ehefrau Melania gegen das Coronavirus geimpft worden sein.  Gesagt. . . ##
2021-03-01 16:50:22#world#China: Erschwerte Arbeit für Journalisten#https://www.sueddeutsche.de/medien/china-journalismus-pressefreiheit-1.5221524#https://www.sueddeutsche.de/image/sz.1.5221525/1200x675?v=1614615477#de#-0.1027#www.sueddeutsche.de#In China erlebten Korrespondenten im vergangenen Jahr deutlich schwierigere Bedingungen, sagt der Auslandskorrespondentenclub (FCCC)##
2021-03-01 11:14:14#world#Zuletzt 1923 dokumentiert: Verschollene Bienenart nach fast 100 Jahren in Australien entdeckt#https://web.de/magazine/wissen/natur-umwelt/zuletzt-1923-dokumentiert-verschollene-bienenart-100-jahren-australien-entdeckt-35584162#https://i0.web.de/image/210/35584210,pd=4,f=opengraph/100-jahren-verschollene-bienenart-pharohylaeus-lac.jpg#de#-0.3182#web.de#Sie galt beinahe als ausgestorben, doch nun ist eine Bienenart wieder in Australien gesichtet worden.  Sie war dort zuletzt 1923 dokumentiert worden. ##
2021-03-01 17:33:09#world#Umspannwerke in Flammen : Abchasien macht Bitcoin-Farmen dicht#https://www.n-tv.de/wirtschaft/Abchasien-macht-Bitcoin-Farmen-dicht-article22394445.html#https://bilder1.n-tv.de/img/incoming/crop22394464/7701328099-cImg_16_9-w1200/imago0109603953h.jpg#de#-0.34#www.n-tv.de#Weil der Strom dort billig ist, wird Abchasien zum Paradies für Bitcoin-Schürfer.  Doch weil Leitungen unter der Last zusammenbrechen, zieht die Regierung den Stecker und droht mit hohen Strafen. ##
2021-02-28 22:21:44#world#Roma-Viertel: Flächendeckende Corona-Impfung notwendig#https://www.faz.net/aktuell/politik/ausland/roma-viertel-flaechendeckende-corona-impfung-notwendig-17220531.html#https://media0.faz.net/ppmedia/aktuell/870090622/1.7220570/facebook_teaser/eine-romni-in-einem-lager-in.jpg#de#0.0#www.faz.net#Die Elendsviertel der Roma auf dem Balkan galten zu Beginn der Pandemie als mögliche Infektionstreiber.  Nun ist die Frage, wie es. . . ##
2021-02-28 16:41:39#world#"""Resilience Ranking"": Deutschland in Umgang mit Pandemie nur Mittelmaß"#https://www.focus.de/corona-virus/bloombergs-covid-resilience-ranking-internationales-ranking-deutschland-in-umgang-mit-corona-pandemie-nur-mittelmass_id_13030408.html#https://p6.focus.de/img/fotos/id_13030397/bloombergtb.png?im=Crop%3D%280%2C0%2C900%2C450%29%3BResize%3D%281200%2C627%29&hash=1f0ca965432f924b6b7276a7eee44525e8b313becd6f22f9145f0510e7f57faa#de#0.0#www.focus.de#Im Umgang mit der Coronakrise ist Deutschland global betrachtet nur Mittelmaß.  Das ist das Ergebnis des sogenannten „Covid Resilience Rankings“ des US-Medienunternehmens Bloomberg.  In der Rangliste vergleicht Bloomberg seit dem November den Umgang von 53 Ländern mit dem Coronavirus anhand von insgesamt elf Faktoren – darunter die Zahl der Corona-Toten und der Infektionen sowie der Fortschritt bei den Impfungen. ##
